,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
144,2021,1,Buenos Aires,629679,2452056,821597,98806,57864,4060002
145,2021,1,Capital Federal,159805,1145093,39980,5559,29236,1379673
146,2021,1,Catamarca,26316,4409,18688,3220,2233,51968
147,2021,1,Chaco,43214,61251,25426,8004,1875,139770
148,2021,1,Chubut,45501,40960,3444,23723,18712,132340
149,2021,1,Córdoba,260350,444695,134634,54137,17065,910881
150,2021,1,Corrientes,49160,62876,3337,5949,5303,126625
151,2021,1,Entre Ríos,83688,118424,16846,20836,12169,251963
152,2021,1,Formosa,20663,11412,2562,15669,3800,50686
153,2021,1,Jujuy,32254,54324,17322,2677,3879,110456
154,2021,1,La Pampa,8946,58711,15779,12369,13,97105
155,2021,1,La Rioja,17363,34984,1,2500,300,52628
156,2021,1,Mendoza,91844,69295,38619,18332,8330,218923
157,2021,1,Misiones,48292,82339,7064,4796,6896,149387
158,2021,1,Neuquén,30223,70457,14171,17752,6320,133235
159,2021,1,Río Negro,48777,42192,17828,13994,18377,141168
160,2021,1,Salta,54768,89187,31498,5669,6452,187574
161,2021,1,San Juan,40072,11589,6671,11482,8453,78267
162,2021,1,San Luis,8417,10678,28,63826,36205,119154
163,2021,1,Santa Cruz,12347,23089,5975,4264,3900,46065
164,2021,1,Santa Fe,277012,421480,70976,3914,17519,826127
165,2021,1,Santiago Del Estero,26468,75849,570,5158,3596,111641
166,2021,1,Tierra Del Fuego,12853,27247,6,0,3160,40422
167,2021,1,Tucumán,147199,12185,69954,1834,7400,231912
168,2020,4,Buenos Aires,635651,2441248,804991,93444,57927,4033261
169,2020,4,Capital Federal,163060,1142528,39890,4815,29237,1379530
170,2020,4,Catamarca,26870,5115,17856,3220,2233,52396
171,2020,4,Chaco,44332,61200,23687,7997,1875,139091
172,2020,4,Chubut,45703,39756,3040,23363,18712,130574
173,2020,4,Córdoba,267396,439322,125620,52827,17536,902701
174,2020,4,Corrientes,50102,61495,3146,5626,529,125659
175,2020,4,Entre Ríos,85683,113670,15653,20206,12169,247381
176,2020,4,Formosa,21264,10789,2432,15341,3800,50206
177,2020,4,Jujuy,32850,52815,15639,1077,347,105851
178,2020,4,La Pampa,9009,58945,15432,12194,1315,96895
179,2020,4,La Rioja,17513,34984,1,2500,300,52778
180,2020,4,Mendoza,91842,68364,36083,18331,8330,215453
181,2020,4,Misiones,49462,79855,6589,4359,6896,147161
182,2020,4,Neuquén,30468,70614,13732,17689,6320,133135
183,2020,4,Río Negro,48991,42022,17826,13994,18377,141210
184,2020,4,Salta,56659,87817,30604,5858,6452,187390
185,2020,4,San Juan,40072,7004,6599,10468,8453,72596
186,2020,4,San Luis,8417,11767,27,63019,36205,119435
187,2020,4,Santa Cruz,12347,19657,1041,4659,297,40674
188,2020,4,Santa Fe,287271,414746,62692,38712,17392,820813
189,2020,4,Santiago Del Estero,26812,70522,570,5169,3596,106669
190,2020,4,Tierra Del Fuego,12853,26439,6,0,3160,39614
191,2020,4,Tucumán,149322,11150,68043,1834,7400,231089
192,2020,3,Buenos Aires,653930,2384557,749087,94162,55541,3937277
193,2020,3,Capital Federal,170375,1129573,39417,3936,29374,1372675
194,2020,3,Catamarca,26868,3690,16857,2610,2228,49904
195,2020,3,Chaco,45745,58825,20675,6706,2003,133954
196,2020,3,Chubut,45761,39386,2897,23216,18767,130027
197,2020,3,Córdoba,276360,430771,102217,48368,9756,867472
198,2020,3,Corrientes,50858,58681,2960,5513,5379,123391
199,2020,3,Entre Ríos,87892,106950,13954,20379,1232,241495
200,2020,3,Formosa,21790,10003,2000,15023,3930,49209
201,2020,3,Jujuy,32611,57682,11112,9520,4371,106728
202,2020,3,La Pampa,9015,56845,14677,11893,1305,93735
203,2020,3,La Rioja,17346,34984,1,2500,350,52616
204,2020,3,Mendoza,91908,64672,32817,17523,8680,207788
205,2020,3,Misiones,50195,77989,2572,3445,8985,143186
206,2020,3,Neuquén,30222,70446,11043,16787,7370,129235
207,2020,3,Río Negro,49530,40001,10381,13187,18368,131467
208,2020,3,Salta,58216,84128,25445,5764,7293,180846
209,2020,3,San Juan,40092,9223,5509,14023,848,77327
210,2020,3,San Luis,8401,10077,6,61828,36253,116565
211,2020,3,Santa Cruz,12845,16098,1027,6938,2373,39281
212,2020,3,Santa Fe,295051,405807,45721,37112,19307,802998
213,2020,3,Santiago Del Estero,26419,70720,555,4185,3613,105492
214,2020,3,Tierra Del Fuego,12854,26491,0,0,3100,39655
215,2020,3,Tucumán,149605,11752,59949,1808,7620,223876
216,2020,2,Buenos Aires,661272,2244277,723072,91736,57189,3777546
217,2020,2,Capital Federal,178896,1106133,39482,3937,29373,1357821
218,2020,2,Catamarca,26968,3641,14878,2610,2228,47976
219,2020,2,Chaco,46816,56017,17266,6452,1581,128132
220,2020,2,Chubut,45761,38279,1324,17678,5614,108656
221,2020,2,Córdoba,282858,415007,85818,44522,8263,836468
222,2020,2,Corrientes,51248,55536,3144,3927,5011,118866
223,2020,2,Entre Ríos,89391,99423,13954,20042,11303,234113
224,2020,2,Formosa,21805,9353,1882,14723,1690,47932
225,2020,2,Jujuy,32705,38938,5057,9520,16664,94316
