,Año,Trimestre,Provincia,Accesos por cada 100 hogares
349,2019,1,Misiones,36
350,2019,1,Neuquén,59
351,2019,1,Río Negro,54
352,2019,1,Salta,40
353,2019,1,San Juan,32
354,2019,1,San Luis,67
355,2019,1,Santa Cruz,24
356,2019,1,Santa Fe,67
357,2019,1,Santiago Del Estero,38
358,2019,1,Tierra Del Fuego,93
359,2019,1,Tucumán,42
360,2018,4,Buenos Aires,65
361,2018,4,Capital Federal,108
362,2018,4,Catamarca,32
363,2018,4,Chaco,33
364,2018,4,Chubut,43
365,2018,4,Córdoba,65
366,2018,4,Corrientes,35
367,2018,4,Entre Ríos,54
368,2018,4,Formosa,30
369,2018,4,Jujuy,47
370,2018,4,La Pampa,73
371,2018,4,La Rioja,50
372,2018,4,Mendoza,38
373,2018,4,Misiones,34
374,2018,4,Neuquén,59
375,2018,4,Río Negro,52
376,2018,4,Salta,40
377,2018,4,San Juan,32
378,2018,4,San Luis,68
379,2018,4,Santa Cruz,24
380,2018,4,Santa Fe,66
381,2018,4,Santiago Del Estero,37
382,2018,4,Tierra Del Fuego,94
383,2018,4,Tucumán,42
384,2018,3,Buenos Aires,64
385,2018,3,Capital Federal,108
386,2018,3,Catamarca,33
387,2018,3,Chaco,32
388,2018,3,Chubut,56
389,2018,3,Córdoba,64
390,2018,3,Corrientes,34
391,2018,3,Entre Ríos,50
392,2018,3,Formosa,30
393,2018,3,Jujuy,23
394,2018,3,La Pampa,72
395,2018,3,La Rioja,51
396,2018,3,Mendoza,38
397,2018,3,Misiones,32
398,2018,3,Neuquén,60
399,2018,3,Río Negro,51
400,2018,3,Salta,39
401,2018,3,San Juan,33
402,2018,3,San Luis,52
403,2018,3,Santa Cruz,33
404,2018,3,Santa Fe,63
405,2018,3,Santiago Del Estero,36
406,2018,3,Tierra Del Fuego,93
407,2018,3,Tucumán,42
408,2018,2,Buenos Aires,63
409,2018,2,Capital Federal,107
410,2018,2,Catamarca,33
411,2018,2,Chaco,31
412,2018,2,Chubut,55
413,2018,2,Córdoba,63
414,2018,2,Corrientes,34
415,2018,2,Entre Ríos,49
416,2018,2,Formosa,29
417,2018,2,Jujuy,23
418,2018,2,La Pampa,71
419,2018,2,La Rioja,51
420,2018,2,Mendoza,37
421,2018,2,Misiones,32
422,2018,2,Neuquén,60
423,2018,2,Río Negro,50
424,2018,2,Salta,40
425,2018,2,San Juan,33
426,2018,2,San Luis,15
427,2018,2,Santa Cruz,33
428,2018,2,Santa Fe,63
429,2018,2,Santiago Del Estero,35
430,2018,2,Tierra Del Fuego,92
431,2018,2,Tucumán,42
432,2018,1,Buenos Aires,63
433,2018,1,Capital Federal,106
434,2018,1,Catamarca,33
435,2018,1,Chaco,31
436,2018,1,Chubut,54
437,2018,1,Córdoba,64
438,2018,1,Corrientes,33
439,2018,1,Entre Ríos,49
440,2018,1,Formosa,21
441,2018,1,Jujuy,23
442,2018,1,La Pampa,72
443,2018,1,La Rioja,51
444,2018,1,Mendoza,37
445,2018,1,Misiones,31
446,2018,1,Neuquén,62
447,2018,1,Río Negro,50
448,2018,1,Salta,40
449,2018,1,San Juan,33
450,2018,1,San Luis,15
451,2018,1,Santa Cruz,34
452,2018,1,Santa Fe,62
453,2018,1,Santiago Del Estero,35
454,2018,1,Tierra Del Fuego,65
455,2018,1,Tucumán,41
456,2017,4,Buenos Aires,58
457,2017,4,Capital Federal,123
458,2017,4,Catamarca,29
459,2017,4,Chaco,31
460,2017,4,Chubut,51
461,2017,4,Córdoba,63
462,2017,4,Corrientes,33
463,2017,4,Entre Ríos,48
464,2017,4,Formosa,21
465,2017,4,Jujuy,23
466,2017,4,La Pampa,71
467,2017,4,La Rioja,52
468,2017,4,Mendoza,33
469,2017,4,Misiones,31
470,2017,4,Neuquén,61
471,2017,4,Río Negro,49
472,2017,4,Salta,40
473,2017,4,San Juan,30
474,2017,4,San Luis,11
475,2017,4,Santa Cruz,29
476,2017,4,Santa Fe,62
477,2017,4,Santiago Del Estero,29
478,2017,4,Tierra Del Fuego,60
479,2017,4,Tucumán,40
480,2017,3,Buenos Aires,56
481,2017,3,Capital Federal,122
482,2017,3,Catamarca,32
483,2017,3,Chaco,30
484,2017,3,Chubut,46
485,2017,3,Córdoba,62
486,2017,3,Corrientes,32
487,2017,3,Entre Ríos,46
488,2017,3,Formosa,21
489,2017,3,Jujuy,23
490,2017,3,La Pampa,69
491,2017,3,La Rioja,51
492,2017,3,Mendoza,36
493,2017,3,Misiones,30
494,2017,3,Neuquén,61
495,2017,3,Río Negro,49
496,2017,3,Salta,40
497,2017,3,San Juan,32
498,2017,3,San Luis,15
499,2017,3,Santa Cruz,33
500,2017,3,Santa Fe,61
501,2017,3,Santiago Del Estero,35
502,2017,3,Tierra Del Fuego,66
503,2017,3,Tucumán,40
504,2017,2,Buenos Aires,56
505,2017,2,Capital Federal,124
506,2017,2,Catamarca,26
507,2017,2,Chaco,29
508,2017,2,Chubut,36
509,2017,2,Córdoba,59
510,2017,2,Corrientes,31
511,2017,2,Entre Ríos,45
512,2017,2,Formosa,20
513,2017,2,Jujuy,22
514,2017,2,La Pampa,63
515,2017,2,La Rioja,16
516,2017,2,Mendoza,32
517,2017,2,Misiones,30
518,2017,2,Neuquén,62
519,2017,2,Río Negro,46
520,2017,2,Salta,33
521,2017,2,San Juan,27
522,2017,2,San Luis,10
523,2017,2,Santa Cruz,26
524,2017,2,Santa Fe,52
525,2017,2,Santiago Del Estero,14
526,2017,2,Tierra Del Fuego,68
527,2017,2,Tucumán,38
528,2017,1,Buenos Aires,59
529,2017,1,Capital Federal,108
530,2017,1,Catamarca,26
531,2017,1,Chaco,29
532,2017,1,Chubut,36
533,2017,1,Córdoba,58
534,2017,1,Corrientes,31
535,2017,1,Entre Ríos,45
536,2017,1,Formosa,20
537,2017,1,Jujuy,23
538,2017,1,La Pampa,63
539,2017,1,La Rioja,16
540,2017,1,Mendoza,32
541,2017,1,Misiones,30
